Package,LibPath,Version,Priority,Built
abind,C:/Users/by22/Documents/R/win-library/3.4,1.4-5,NA,3.4.1
acepack,C:/Users/by22/Documents/R/win-library/3.4,1.4.1,NA,3.4.3
acs,C:/Users/by22/Documents/R/win-library/3.4,2.1.3,NA,3.4.4
AER,C:/Users/by22/Documents/R/win-library/3.4,1.2-5,NA,3.4.1
Amelia,C:/Users/by22/Documents/R/win-library/3.4,1.7.4,NA,3.4.1
assertthat,C:/Users/by22/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
aws.ec2metadata,C:/Users/by22/Documents/R/win-library/3.4,0.1.5,NA,3.4.4
aws.s3,C:/Users/by22/Documents/R/win-library/3.4,0.3.8,NA,3.4.3
aws.signature,C:/Users/by22/Documents/R/win-library/3.4,0.4.4,NA,3.4.4
backports,C:/Users/by22/Documents/R/win-library/3.4,1.1.0,NA,3.4.0
base64enc,C:/Users/by22/Documents/R/win-library/3.4,0.1-3,NA,3.4.0
BBmisc,C:/Users/by22/Documents/R/win-library/3.4,1.11,NA,3.4.4
BH,C:/Users/by22/Documents/R/win-library/3.4,1.66.0-1,NA,3.4.4
bindr,C:/Users/by22/Documents/R/win-library/3.4,0.1,NA,3.4.0
bindrcpp,C:/Users/by22/Documents/R/win-library/3.4,0.2,NA,3.4.0
bitops,C:/Users/by22/Documents/R/win-library/3.4,1.0-6,NA,3.4.0
Boom,C:/Users/by22/Documents/R/win-library/3.4,0.8,NA,3.4.4
BoomSpikeSlab,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.4
broom,C:/Users/by22/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
bsts,C:/Users/by22/Documents/R/win-library/3.4,0.8.0,NA,3.4.4
callr,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
car,C:/Users/by22/Documents/R/win-library/3.4,2.1-5,NA,3.4.1
caret,C:/Users/by22/Documents/R/win-library/3.4,6.0-80,NA,3.4.4
caTools,C:/Users/by22/Documents/R/win-library/3.4,1.17.1,NA,3.4.1
CausalImpact,C:/Users/by22/Documents/R/win-library/3.4,1.2.3,NA,3.4.4
cellranger,C:/Users/by22/Documents/R/win-library/3.4,1.1.0,NA,3.4.0
cem,C:/Users/by22/Documents/R/win-library/3.4,1.1.17,NA,3.4.1
censusapi,C:/Users/by22/Documents/R/win-library/3.4,0.2.1,NA,3.4.0
checkmate,C:/Users/by22/Documents/R/win-library/3.4,1.8.5,NA,3.4.3
choroplethr,C:/Users/by22/Documents/R/win-library/3.4,3.6.1,NA,3.4.3
choroplethrZip,C:/Users/by22/Documents/R/win-library/3.4,1.5.0,NA,3.4.3
classInt,C:/Users/by22/Documents/R/win-library/3.4,0.1-24,NA,3.4.3
cli,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
clipr,C:/Users/by22/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
clisymbols,C:/Users/by22/Documents/R/win-library/3.4,1.2.0,NA,3.4.4
coda,C:/Users/by22/Documents/R/win-library/3.4,0.19-1,NA,3.4.1
coin,C:/Users/by22/Documents/R/win-library/3.4,1.2-1,NA,3.4.1
colorspace,C:/Users/by22/Documents/R/win-library/3.4,1.3-2,NA,3.4.0
combinat,C:/Users/by22/Documents/R/win-library/3.4,0.0-8,NA,3.4.1
countrycode,C:/Users/by22/Documents/R/win-library/3.4,0.19,NA,3.4.3
cowplot,C:/Users/by22/Documents/R/win-library/3.4,0.7.0,NA,3.4.1
crayon,C:/Users/by22/Documents/R/win-library/3.4,1.3.4,NA,3.4.3
crosstalk,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
curl,C:/Users/by22/Documents/R/win-library/3.4,3.2,NA,3.4.4
CVST,C:/Users/by22/Documents/R/win-library/3.4,0.2-2,NA,3.4.4
data.table,C:/Users/by22/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
DBI,C:/Users/by22/Documents/R/win-library/3.4,1.0.0,NA,3.4.4
dbplyr,C:/Users/by22/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
ddalpha,C:/Users/by22/Documents/R/win-library/3.4,1.3.4,NA,3.4.4
Deducer,C:/Users/by22/Documents/R/win-library/3.4,0.7-9,NA,3.4.1
DEoptimR,C:/Users/by22/Documents/R/win-library/3.4,1.0-8,NA,3.4.1
desc,C:/Users/by22/Documents/R/win-library/3.4,1.2.0,NA,3.4.4
devtools,C:/Users/by22/Documents/R/win-library/3.4,1.13.2,NA,3.4.0
dichromat,C:/Users/by22/Documents/R/win-library/3.4,2.0-0,NA,3.4.0
digest,C:/Users/by22/Documents/R/win-library/3.4,0.6.15,NA,3.4.3
dimRed,C:/Users/by22/Documents/R/win-library/3.4,0.1.0,NA,3.4.4
doBy,C:/Users/by22/Documents/R/win-library/3.4,4.5-15,NA,3.4.1
dplyr,C:/Users/by22/Documents/R/win-library/3.4,0.7.4,NA,3.4.3
DRR,C:/Users/by22/Documents/R/win-library/3.4,0.0.3,NA,3.4.4
DT,C:/Users/by22/Documents/R/win-library/3.4,0.2,NA,3.4.3
dygraphs,C:/Users/by22/Documents/R/win-library/3.4,1.1.1.6,NA,3.4.4
e1071,C:/Users/by22/Documents/R/win-library/3.4,1.6-8,NA,3.4.1
Ecdat,C:/Users/by22/Documents/R/win-library/3.4,0.3-1,NA,3.4.1
Ecfun,C:/Users/by22/Documents/R/win-library/3.4,0.1-7,NA,3.4.1
effects,C:/Users/by22/Documents/R/win-library/3.4,3.1-2,NA,3.4.1
ElmeR,C:/Users/by22/Documents/R/win-library/3.4,0.4.1,NA,3.4.3
entropy,C:/Users/by22/Documents/R/win-library/3.4,1.2.1,NA,3.4.1
evaluate,C:/Users/by22/Documents/R/win-library/3.4,0.10.1,NA,3.4.1
fansi,C:/Users/by22/Documents/R/win-library/3.4,0.3.0,NA,3.4.4
fastmatch,C:/Users/by22/Documents/R/win-library/3.4,1.1-0,NA,3.4.1
fda,C:/Users/by22/Documents/R/win-library/3.4,2.4.4,NA,3.4.1
filehash,C:/Users/by22/Documents/R/win-library/3.4,2.4-1,NA,3.4.1
fivethirtyeight,C:/Users/by22/Documents/R/win-library/3.4,0.4.0,NA,3.4.4
forcats,C:/Users/by22/Documents/R/win-library/3.4,0.2.0,NA,3.4.0
foreach,C:/Users/by22/Documents/R/win-library/3.4,1.4.4,NA,3.4.4
forecast,C:/Users/by22/Documents/R/win-library/3.4,8.1,NA,3.4.1
formatR,C:/Users/by22/Documents/R/win-library/3.4,1.5,NA,3.4.1
Formula,C:/Users/by22/Documents/R/win-library/3.4,1.2-2,NA,3.4.1
fracdiff,C:/Users/by22/Documents/R/win-library/3.4,1.4-2,NA,3.4.1
fs,C:/Users/by22/Documents/R/win-library/3.4,1.2.6,NA,3.4.4
FSelector,C:/Users/by22/Documents/R/win-library/3.4,0.31,NA,3.4.4
future,C:/Users/by22/Documents/R/win-library/3.4,1.6.0,NA,3.4.1
gbm,C:/Users/by22/Documents/R/win-library/3.4,2.1.3,NA,3.4.1
gdata,C:/Users/by22/Documents/R/win-library/3.4,2.18.0,NA,3.4.0
gee,C:/Users/by22/Documents/R/win-library/3.4,4.13-19,NA,3.4.1
geepack,C:/Users/by22/Documents/R/win-library/3.4,1.2-1,NA,3.4.1
geometry,C:/Users/by22/Documents/R/win-library/3.4,0.3-6,NA,3.4.4
geosphere,C:/Users/by22/Documents/R/win-library/3.4,1.5-5,NA,3.4.0
GGally,C:/Users/by22/Documents/R/win-library/3.4,1.4.0,NA,3.4.4
ggmap,C:/Users/by22/Documents/R/win-library/3.4,2.6.1,NA,3.4.3
ggplot2,C:/Users/by22/Documents/R/win-library/3.4,3.0.0,NA,3.4.4
ggpmisc,C:/Users/by22/Documents/R/win-library/3.4,0.2.16,NA,3.4.3
ggrepel,C:/Users/by22/Documents/R/win-library/3.4,0.7.0,NA,3.4.2
ggthemes,C:/Users/by22/Documents/R/win-library/3.4,3.4.0,NA,3.4.3
gh,C:/Users/by22/Documents/R/win-library/3.4,1.0.1,NA,3.4.4
git2r,C:/Users/by22/Documents/R/win-library/3.4,0.24.0,NA,3.4.4
